Date,Source,Open,High,Low,Close,Adj Close,Volume,Stock
1/3/2012,yahoo,175.889999,179.479996,175.550003,179.029999,179.029999,5110800,amazon
1/4/2012,yahoo,179.210007,180.5,176.070007,177.509995,177.509995,4205200,amazon
1/5/2012,yahoo,175.940002,178.25,174.050003,177.610001,177.610001,3809100,amazon
1/6/2012,yahoo,178.070007,184.649994,177.5,182.610001,182.610001,7008400,amazon
1/9/2012,yahoo,182.759995,184.369995,177,178.559998,178.559998,5056900,amazon
1/10/2012,yahoo,181.100006,182.399994,177.100006,179.339996,179.339996,3985800,amazon
1/11/2012,yahoo,179.639999,180.770004,178.190002,178.899994,178.899994,3102700,amazon
1/12/2012,yahoo,179.419998,179.490005,175.75,175.929993,175.929993,5385800,amazon
1/13/2012,yahoo,175.809998,178.800003,173.5,178.419998,178.419998,4753500,amazon
1/17/2012,yahoo,180.149994,183.300003,178.509995,181.660004,181.660004,5644500,amazon
1/18/2012,yahoo,181.940002,190.25,181.119995,189.440002,189.440002,7473500,amazon
1/19/2012,yahoo,190.880005,195.940002,190.360001,194.449997,194.449997,7096000,amazon
1/20/2012,yahoo,190.710007,192.899994,189.039993,190.929993,190.929993,5610300,amazon
1/23/2012,yahoo,190.789993,191.729996,185.229996,186.089996,186.089996,4585300,amazon
1/24/2012,yahoo,185,188.410004,183.820007,,187,4673800,amazon
1/25/2012,yahoo,186.990005,188.169998,184.610001,187.800003,187.800003,4306400,amazon
1/26/2012,yahoo,189.300003,194.850006,188.729996,193.320007,193.320007,5873600,amazon
1/27/2012,yahoo,193.089996,196.5,192.330002,195.369995,195.369995,4659000,amazon
1/30/2012,yahoo,193.679993,195,190.130005,192.149994,192.149994,5,amazon
1/31/2012,yahoo,194,195.630005,189.699997,194.440002,194.440002,12772200,amazon
2/1/2012,yahoo,173.809998,179.949997,172,179.460007,179.460007,21336600,amazon
2/2/2012,yahoo,179.649994,181.940002,176.800003,181.720001,181.720001,8736300,amazon
2/3/2012,yahoo,182.830002,,181.889999,187.679993,187.679993,8120500,amazon
2/6/2012,yahoo,186.279999,186.559998,182.919998,183.139999,183.139999,5310000,amazon
2/7/2012,yahoo,182.649994,184.940002,182.059998,184.190002,184.190002,5103900,amazon
2/8/2012,yahoo,184.949997,186.490005,182.910004,185.479996,185.479996,5476600,amazon
2/9/2012,yahoo,184.5,185.690002,181.759995,184.979996,184.979996,7189200,amazon
2/10/2012,yahoo,183.419998,187.630005,182.520004,185.539993,185.539993,5797100,amazon
2/13/2012,yahoo,187.169998,192.5,185.679993,191.589996,191.589996,6071400,amazon
2/14/2012,yahoo,191.080002,193.570007,186.100006,191.300003,191.300003,0,amazon
2/15/2012,yahoo,191.289993,191.539993,183.259995,184.470001,184.470001,7794400,amazon
2/16/2012,yahoo,177.789993,181.679993,175.139999,,179.929993,12563800,amazon
2/17/2012,yahoo,180.089996,183.410004,179.360001,182.5,182.5,7418100,amazon
2/21/2012,yahoo,182.649994,184.75,180.580002,182.259995,182.259995,6756500,amazon
2/22/2012,yahoo,181.949997,182.990005,180.289993,180.580002,180.580002,5785400,amazon
2/23/2012,yahoo,179.639999,180.75,176.960007,178.889999,178.889999,5153800,amazon
2/24/2012,yahoo,179.699997,180.740005,178.369995,179.130005,179.130005,3668700,amazon
2/27/2012,yahoo,177.539993,179.190002,176.5,178.529999,178.529999,3706200,amazon
